text_index,hashtag,company
2552,applemistake,Apple
2562,xmas,Apple
2562,remotemass,Apple
2562,jobsimulator,Apple
2562,VacancySimulator,Apple
2565,Blackberry,Apple
2569,HoneyFavoriteThings,Apple
2572,EMM,Apple
2572,MDM,Apple
2572,MAM,Apple
2572,BYOD,Apple
2573,CarPlay,Apple
2582,emoji,Apple
2597,augmentedreality,Apple
2597,virtualrealitypic,Apple
2598,scracht,Apple
2599,ios13,Apple
2599,catalina,Apple
2599,devices,Apple
2599,privacy,Apple
2599,participantshttps,Apple
2600,MyleneFarmer2019LeFilm,Apple
2601,iPhoneAutocorrects,Apple
2602,imacPro,Apple
2605,SMDH,Apple
2621,12DaysOfDoris,Apple
2628,12DaysOfDoris,Apple
2629,Privacy,Apple
2630,Technology,Apple
2646,FavoriFevad,Apple
2649,Apple,Apple
2652,iosapp,Apple
2652,AppStore,Apple
2654,S386,Apple
2654,YesS386,Apple
2654,s386isfair,Apple
2659,appleisjunk,Apple
2674,HongKong,Apple
2674,HongKongProtests,Apple
2674,hkprotest,Apple
2674,HumanRights,Apple
2674,Chinahttps,Apple
2675,iPadOS,Apple
2675,uxfail,Apple
2687,iPhoneUpdate,Apple
2691,fuckapple,Apple
2691,ProudAndroiduserhttps,Apple
2693,iPadOS,Apple
2693,uxfail,Apple
2697,bugs,Apple
2697,lame,Apple
2698,vilnadst,Apple
2698,sd38learnpic,Apple
2709,LGBT,Apple
2709,gay,Apple
2709,emoji,Apple
2709,politicians,Apple
2709,Celebritiespic,Apple
2712,iPadOS,Apple
2712,uxfail,Apple
2720,iPhone11ProMax,Apple
2720,Samsung,Apple
2720,Android,Apple
2722,content,Apple
2725,iPhone11ProMax,Apple
2725,SAMSUNG,Apple
2728,MacBookPro,Apple
2728,camo,Apple
2733,Dynasty,Apple
2733,TheMidEastMeeting,Apple
2733,MidEastWedding,Apple
2733,JusticeForDynasty,Apple
2736,macOSCatalina,Apple
2736,reprogrammybrain,Apple
2736,buynewprograms,Apple
2736,appleisnowincharge,Apple
2737,WorldMenopauseDay,Apple
2737,worldmenopauseday2019pic,Apple
2745,memoji,Apple
2745,help,Apple
2745,AppleSupport,Apple
2748,FollowFriday,Apple
2749,iphone,Apple
2752,iTunes,Apple
2752,applemusic,Apple
2754,icloudaccountbreach,Apple
2759,iPhone11ProMax,Apple
2770,awkwardmoment,Apple
2770,silentmode,Apple
2783,airpods2,Apple
2796,StandWithHongKong,Apple
2799,Mac,Apple
2799,Catalina,Apple
2799,computer,Apple
2799,pay,Apple
2799,subscription,Apple
2799,Office,Apple
2799,Apple,Apple
2801,BESTprogram,Apple
2801,FulbrightBESTpic,Apple
2804,amreading,Apple
2804,ebook,Apple
